taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9278909	Mysticarion porrectus (Iredale, 1941)	9278909	Mysticarion porrectus (Iredale, 1941)	8	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Stylommatophora	1456	Helicarionidae	9431	Mysticarion	2296864	Mysticarion porrectus	9278909	NE
9390306	Babingtonia urbana Rye	9390306	Babingtonia urbana Rye	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Babingtonia	8280655	Babingtonia urbana	9390306	NE
9497158	Ooperipatellus nickmayeri Oliveira & Mayer, 2017	9497158	Ooperipatellus nickmayeri Oliveira & Mayer, 2017	2	SPECIES	ACCEPTED	Animalia	1	Onychophora	62					Peripatopsidae	1898	Ooperipatellus	2235654	Ooperipatellus nickmayeri	9497158	NE
9956017	Brunia dorsalis	9956017	Brunia dorsalis	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Brunia	3257524	Brunia dorsalis	9956017	NE
6	Plantae	6	Plantae	214	KINGDOM	ACCEPTED	Plantae	6													NE
1339817	Amegilla chlorocyanea (Cockerell, 1914)	1339817	Amegilla chlorocyanea (Cockerell, 1914)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Amegilla	1339775	Amegilla chlorocyanea	1339817	NE
1731944	Anthela neurospasta Turner, 1902	1731944	Anthela neurospasta Turner, 1902	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Anthelidae	4547	Anthela	1731891	Anthela neurospasta	1731944	NE
1807491	Thallarcha albicollis Felder & Rogenhofer, 1875	1807491	Thallarcha albicollis Felder & Rogenhofer, 1875	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Thallarcha	1807453	Thallarcha albicollis	1807491	NE
1832569	Crocanthes micradelpha (Lower, 1897)	1832569	Crocanthes micradelpha (Lower, 1897)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lecithoceridae	3531	Crocanthes	1832512	Crocanthes micradelpha	1832569	NE
1881424	Metasia capnochroa (Meyrick, 1884)	1881424	Metasia capnochroa (Meyrick, 1884)	22	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Metasia	1881357	Metasia capnochroa	1881424	NE
1951492	Oreta jaspidea Warren, 1896	1951492	Oreta jaspidea Warren, 1896	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Drepanidae	7294	Oreta	1951430	Oreta jaspidea	1951492	NE
1956955	Aeolochroma turneri (Lucas, 1890)	1956955	Aeolochroma turneri (Lucas, 1890)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Aeolochroma	1956949	Aeolochroma turneri	1956955	NE
1976242	Planolocha obliquata (Lucas, 1892)	1976242	Planolocha obliquata (Lucas, 1892)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Planolocha	1976240	Planolocha obliquata	1976242	NE
2108272	Campion rubellus Navás, 1914	2108272	Campion rubellus Navás, 1914	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Neuroptera	1501	Mantispidae	5470	Campion	2108268	Campion rubellus	2108272	NE
