taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9435646	Dianella Lam. ex Juss.	9435646	Dianella Lam. ex Juss.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Asphodelaceae	4259209	Dianella	9435646			
9609892	Erythrolamprus epinephelus (Cope, 1862)	9609892	Erythrolamprus epinephelus (Cope, 1862)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Colubridae	6172	Erythrolamprus	8213297	Erythrolamprus epinephelus	9609892	LC
10129812	Eudyaria zeta Berg, 1885	10129812	Eudyaria zeta Berg, 1885	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Saturniidae	8864	Eudyaria	11715392	Eudyaria zeta	10129812	NE
10855413	Neofavolus subpurpurascens (Murrill) Palacio & Robledo	10855413	Neofavolus subpurpurascens (Murrill) Palacio & Robledo	4	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Polyporaceae	3286	Neofavolus	8145379	Neofavolus subpurpurascens	10855413	NE
11063760	Galea leucoblephara Burmeister, 1861	5706508	Galea musteloides leucoblephara (Burmeister, 1861)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Caviidae	9432	Galea	2437620	Galea musteloides	5219699	LC
1003391	Cephalodella forficula (Ehrenberg, 1830)	1003391	Cephalodella forficula (Ehrenberg, 1830)	1	SPECIES	ACCEPTED	Animalia	1	Rotifera	91	Eurotatoria	307	Ploima	1235	Notommatidae	8067	Cephalodella	1003319	Cephalodella forficula	1003391	NE
1620438	Richardia Robineau-Desvoidy, 1830	1620438	Richardia Robineau-Desvoidy, 1830	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Richardiidae	9506	Richardia	1620438			
1709379	Dichroplus schulzi Bruner, 1906	1709379	Dichroplus schulzi Bruner, 1906	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Orthoptera	1458	Acrididae	9394	Dichroplus	1709353	Dichroplus schulzi	1709379	NE
1714862	Colpolopha latipennis Stål, 1878	1714862	Colpolopha latipennis Stål, 1878	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Orthoptera	1458	Romaleidae	7255	Colpolopha	1714856	Colpolopha latipennis	1714862	NE
1877988	Aglossa caprealis (Hübner)	1877988	Aglossa caprealis (Hübner)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pyralidae	5336	Aglossa	1877937	Aglossa caprealis	1877988	NE
1908138	Ithomia drymo Hübner, 1816	1908138	Ithomia drymo Hübner, 1816	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Ithomia	1908109	Ithomia drymo	1908138	NE
2050080	Althos obscurator (Fabricius, 1803)	2050080	Althos obscurator (Fabricius, 1803)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Coreidae	9649	Althos	2050077	Althos obscurator	2050080	NE
2133270	Vectius niger (Simon, 1880)	2133270	Vectius niger (Simon, 1880)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Trochanteriidae	7269	Vectius	2133269	Vectius niger	2133270	NE
2393918	Sparisoma aurofrenatum (Valenciennes, 1840)	2393918	Sparisoma aurofrenatum (Valenciennes, 1840)	24	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Scaridae	4504	Sparisoma	2393893	Sparisoma aurofrenatum	2393918	LC
2433588	Nasuella olivacea (Gray, 1865)	2433588	Nasuella olivacea (Gray, 1865)	51	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Nasuella	2433587	Nasuella olivacea	2433588	NT
2437361	Microsciurus flaviventer (Gray, 1867)	2437361	Microsciurus flaviventer (Gray, 1867)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Microsciurus	2437359	Microsciurus flaviventer	2437361	LC
2693290	Cephalostemon gracilis (Poepp. & Endl.) R.H.Schomb.	2693290	Cephalostemon gracilis (Poepp. & Endl.) R.H.Schomb.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Rapateaceae	7710	Cephalostemon	8087995	Cephalostemon gracilis	2693290	NE
2695645	Tillandsia bulbosa Hook.	2695645	Tillandsia bulbosa Hook.	8	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Bromeliaceae	3740	Tillandsia	8279994	Tillandsia bulbosa	2695645	NE
2762406	Ctenanthe burle-marxii H.Kenn.	2762406	Ctenanthe burle-marxii H.Kenn.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Marantaceae	8784	Ctenanthe	2762396	Ctenanthe burle-marxii	2762406	NE
2791050	Telipogon nervosus (L.) Druce	2791050	Telipogon nervosus (L.) Druce	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Telipogon	2790835	Telipogon nervosus	2791050	NE
2832675	Cyrtochilum baldeviamae (Rchb.f.) Kraenzl.	2832675	Cyrtochilum baldeviamae (Rchb.f.) Kraenzl.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Cyrtochilum	2832647	Cyrtochilum baldeviamae	2832675	NE
2846609	Trichocentrum fuscum Lindl.	2846609	Trichocentrum fuscum Lindl.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Trichocentrum	2846368	Trichocentrum fuscum	2846609	NE
