taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5218987	Mustela nivalis Linnaeus, 1766	5218987	Mustela nivalis Linnaeus, 1766	22	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Mustela	2433922	Mustela nivalis	5218987	LC
5389017	Solidago gigantea Aiton	5389017	Solidago gigantea Aiton	26	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Solidago	5388868	Solidago gigantea	5389017	NE
6063730	Senecio vernalis Waldst. & Kit.	6063730	Senecio vernalis Waldst. & Kit.	75	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Senecio	3106738	Senecio vernalis	6063730	NE
6173433	Emberiza schoeniclus ukrainae (Zarudny, 1917)	6173433	Emberiza schoeniclus ukrainae (Zarudny, 1917)	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Emberiza	2491468	Emberiza schoeniclus	2491557	
7246697	Cladonia rangiformis Hoffm.	7246697	Cladonia rangiformis Hoffm.	7	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecanorales	1048	Cladoniaceae	8328	Cladonia	2607519	Cladonia rangiformis	7246697	NE
7439391	Centaurium pulchellum (Sw.) Druce	7439391	Centaurium pulchellum (Sw.) Druce	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Gentianaceae	2503	Centaurium	7412173	Centaurium pulchellum	7439391	LC
7884917	Cerasus Mill.	3020559	Prunus L.	1	GENUS	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Prunus	3020559			NE
9225633	Botrychium matricariifolium (Döll) A.Braun ex Koch	9225633	Botrychium matricariifolium (Döll) A.Braun ex Koch	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Ophioglossales	393	Ophioglossaceae	6627	Botrychium	2650152	Botrychium matricariifolium	9225633	NE
1535931	Chrysotoxum elegans Loew, 1841	1535931	Chrysotoxum elegans Loew, 1841	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920	Chrysotoxum	1535870	Chrysotoxum elegans	1535931	NE
1791384	Craniophora pontica (Staudinger)	1791384	Craniophora pontica (Staudinger)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Craniophora	1791382	Craniophora pontica	1791384	NE
2196152	Metabelba propexa (Kulczynski, 1902)	2196152	Metabelba propexa (Kulczynski, 1902)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Sarcoptiformes	542	Damaeidae	9712	Metabelba	2196148	Metabelba propexa	2196152	NE
2607534	Cladonia coniocraea (Flörke) Spreng.	2607534	Cladonia coniocraea (Flörke) Spreng.	5	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecanorales	1048	Cladoniaceae	8328	Cladonia	2607519	Cladonia coniocraea	2607534	NE
2768866	Asparagus pseudoscaber Grecescu	2768866	Asparagus pseudoscaber Grecescu	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Asparagaceae	7683	Asparagus	9527393	Asparagus pseudoscaber	2768866	DD
2882316	Fagus sylvatica L.	2882316	Fagus sylvatica L.	184	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Fagus	2874875	Fagus sylvatica	2882316	LC
2975083	Vicia tetrasperma (L.) Schreb.	2975083	Vicia tetrasperma (L.) Schreb.	22	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia tetrasperma	2975083	NE
3172074	Veronica polita Fr.	3172074	Veronica polita Fr.	82	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Plantaginaceae	2420	Veronica	3172047	Veronica polita	3172074	NE
4485898	Eurydema oleracea (Linnaeus, 1758)	4485898	Eurydema oleracea (Linnaeus, 1758)	49	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Pentatomidae	9650	Eurydema	8781759	Eurydema oleracea	4485898	NE
4534209	Enterpia laudeti Boisduval, 1840	4534209	Enterpia laudeti Boisduval, 1840	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Enterpia	4404953	Enterpia laudeti	4534209	NE
